SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,rainfall_mm
35461,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,1/1/2021 8:00,16.38
35462,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,2/1/2021 8:00,0
35463,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,3/1/2021 8:00,0
35464,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,4/1/2021 8:00,0
35465,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,5/1/2021 8:00,0
35466,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,6/1/2021 8:00,0
35467,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,7/1/2021 8:00,0
35468,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,8/1/2021 8:00,0
35469,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,9/1/2021 8:00,0
35470,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,10/1/2021 8:00,0
35471,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,11/1/2021 8:00,0
35472,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,12/1/2021 8:00,0
35473,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,13-01-2021 08:00,0
35474,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,14-01-2021 08:00,0
35475,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,15-01-2021 08:00,0
35476,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,16-01-2021 08:00,0
35477,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,17-01-2021 08:00,0
35478,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,18-01-2021 08:00,0
35479,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,19-01-2021 08:00,0
35480,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,20-01-2021 08:00,0
35481,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,21-01-2021 08:00,0
35482,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,22-01-2021 08:00,0
35483,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,23-01-2021 08:00,0
35484,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,24-01-2021 08:00,0
35485,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,25-01-2021 08:00,0
35486,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,26-01-2021 08:00,0
