Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,01-02-2023 11:00,3
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,29-05-2023 15:00,0.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,29-05-2023 16:00,0.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,29-05-2023 19:00,1.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,29-05-2023 20:00,5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,29-05-2023 21:00,4.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,29-05-2023 22:00,2.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,29-05-2023 23:00,0.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,30-05-2023 00:00,0.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,30-05-2023 01:00,0.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,30-05-2023 02:00,0.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,30-05-2023 03:00,0.5
